iter	MAE
0	2.316508734
1	2.277565096
2	2.24299879
3	2.208306413
4	2.175904337
5	2.141548823
6	2.108739892
7	2.077957793
8	2.04688477
9	2.01821892
10	1.990234293
11	1.963539814
12	1.937980145
13	1.913184667
14	1.889065415
15	1.866333504
16	1.843842435
17	1.823753753
18	1.804019493
19	1.784425406
20	1.764625678
21	1.746525526
22	1.728100269
23	1.710644405
24	1.69412111
25	1.678708812
26	1.663957822
27	1.649854503
28	1.636018969
29	1.622985145
30	1.611043236
31	1.598976632
32	1.587246378
33	1.576281426
34	1.56641267
35	1.556229988
36	1.546389433
37	1.536711353
38	1.527678902
39	1.519061946
40	1.509924369
41	1.501602599
42	1.493428923
43	1.485378353
44	1.478109476
45	1.471152654
46	1.46431937
47	1.458494633
48	1.452108556
49	1.44597539
50	1.440084773
51	1.434722114
52	1.429417782
53	1.42428065
54	1.419211761
55	1.414591637
56	1.410155807
57	1.406059697
58	1.40206963
59	1.398033491
60	1.394420223
61	1.390951152
62	1.387456003
63	1.38417376
64	1.381086318
65	1.378081168
66	1.375262307
67	1.372482325
68	1.369967384
69	1.367690372
70	1.365439163
71	1.363563871
72	1.361452085
73	1.359411829
74	1.357650234
75	1.355993341
76	1.354025406
77	1.352262455
78	1.350444207
79	1.349019272
80	1.347404773
81	1.346001633
82	1.344567708
83	1.343364191
84	1.342074065
85	1.340866532
86	1.339837616
87	1.338877769
88	1.337828532
89	1.336915305
90	1.335925622
91	1.335013618
92	1.334064978
93	1.333381149
94	1.332656872
95	1.331991025
96	1.331357915
97	1.330746671
98	1.330111018
99	1.329454214
100	1.328891021
101	1.328247705
102	1.327656622
103	1.327064495
104	1.326542762
105	1.326066845
106	1.325532751
107	1.325122188
108	1.324734628
109	1.32433795
110	1.323993464
111	1.323556889
112	1.323147627
113	1.32280388
114	1.32250493
115	1.32222596
116	1.321786355
117	1.321486684
118	1.32121746
119	1.320985797
120	1.320630231
121	1.320332518
122	1.320106893
123	1.319836364
124	1.319528546
125	1.319294474
126	1.319077373
127	1.318809052
128	1.318579056
129	1.318354878
130	1.318123924
131	1.317889808
132	1.317632206
133	1.31735271
134	1.31712232
135	1.316947807
136	1.316810291
137	1.316636781
138	1.316465042
139	1.316289216
140	1.316109013
141	1.315924868
142	1.315738882
143	1.31559238
144	1.315452635
145	1.31526115
146	1.315098604
147	1.314835703
148	1.314683515
149	1.314543228
150	1.314368826
151	1.314237059
152	1.314095804
153	1.313986969
154	1.313903418
155	1.31375424
156	1.313619307
157	1.313480837
158	1.313373184
159	1.313189018
160	1.313082731
161	1.312981574
162	1.312812203
163	1.312706589
164	1.312623561
165	1.312506167
166	1.312404565
167	1.312333378
168	1.312217482
169	1.31212782
170	1.312021343
171	1.311890236
172	1.311770746
173	1.311642292
174	1.311547728
175	1.31147786
176	1.31132247
177	1.311229601
178	1.31111764
179	1.31100565
180	1.310872082
181	1.310801704
182	1.310724007
183	1.310619216
184	1.310526567
185	1.310448611
186	1.31033242
187	1.310168089
188	1.309989882
189	1.309857184
190	1.309737697
191	1.30966653
192	1.309593995
193	1.309500964
194	1.309420831
195	1.309369141
196	1.309284239
197	1.309174811
198	1.309098033
199	1.309040221
200	1.308955112
201	1.308860998
202	1.308786851
203	1.308676832
204	1.30860818
205	1.308553043
206	1.30841824
207	1.308363979
208	1.308309676
209	1.308249788
210	1.308182005
211	1.308079754
212	1.307984183
213	1.307909636
214	1.307842885
215	1.307789361
216	1.307750961
217	1.307696499
218	1.307665422
219	1.307626533
220	1.307572634
221	1.307506532
222	1.30738127
223	1.307346353
224	1.307283504
225	1.307183254
226	1.307102433
227	1.307056524
228	1.307016623
229	1.306976663
230	1.306896803
231	1.306771023
232	1.30665175
233	1.306567693
234	1.306537815
235	1.306478446
236	1.30637699
237	1.306262122
238	1.306220505
239	1.306116131
240	1.306069806
241	1.306019423
242	1.305934843
243	1.305865781
244	1.305755881
245	1.305709844
246	1.305634069
247	1.30557484
248	1.305452416
249	1.305386876
250	1.305317851
251	1.305286055
252	1.305231067
253	1.305170258
254	1.305124407
255	1.305096047
256	1.305018474
257	1.304965114
258	1.304925332
259	1.304876776
260	1.304791181
261	1.3047124
262	1.304590787
263	1.304514165
264	1.304428621
265	1.304353451
266	1.304311652
267	1.304262528
268	1.304219486
269	1.304171471
270	1.304088909
271	1.304040561
272	1.303964239
273	1.303881485
274	1.303860316
275	1.303799237
276	1.303695407
277	1.303648189
278	1.303599772
279	1.303546098
280	1.303517308
281	1.303495743
282	1.303397071
283	1.30336797
284	1.303317126
285	1.303246042
286	1.303212341
287	1.303131178
288	1.30302517
289	1.302899308
290	1.302854858
291	1.302802155
292	1.302731374
293	1.302700114
294	1.302683059
295	1.30258883
296	1.302563839
297	1.302534451
298	1.302408729
299	1.302289419
300	1.302263597
301	1.302229056
302	1.302208299
303	1.302137925
304	1.302034323
305	1.301974165
306	1.301886243
307	1.301840842
308	1.301761385
309	1.301701179
310	1.301639392
311	1.301603801
312	1.301564206
313	1.301540506
314	1.301489391
315	1.301396987
316	1.301326098
317	1.301230086
318	1.301167727
319	1.301141002
320	1.301095501
321	1.301075158
322	1.301035205
323	1.301016951
324	1.300970668
325	1.300897117
326	1.300851955
327	1.300763013
328	1.300714055
329	1.300670684
330	1.300611132
331	1.300553263
332	1.300534873
333	1.300478684
334	1.30043612
335	1.300409589
336	1.300360467
337	1.300334021
338	1.300293802
339	1.300192471
340	1.300081429
341	1.300021661
342	1.299906562
343	1.299867006
344	1.299843202
345	1.299737194
346	1.299696608
347	1.299672685
348	1.29965275
349	1.299625393
350	1.29959189
351	1.299560553
352	1.299512632
353	1.299440597
354	1.299369021
355	1.299323508
356	1.299268795
357	1.299219989
358	1.299133132
359	1.299074662
360	1.298998476
361	1.298960616
362	1.29885036
363	1.29875957
364	1.29869959
365	1.298630726
366	1.298551201
367	1.298506985
368	1.298408684
369	1.298361501
370	1.298325378
371	1.298254191
372	1.298237834
373	1.298208753
374	1.298184903
375	1.298162169
376	1.298099282
377	1.297999427
378	1.297899907
379	1.297820592
380	1.297705041
381	1.29762396
382	1.297564863
383	1.297543949
384	1.297481972
385	1.297400291
386	1.297338712
387	1.297248014
388	1.297195005
389	1.297111018
390	1.297039478
391	1.297016764
392	1.296998325
393	1.296975123
394	1.296926088
395	1.296899896
396	1.296885911
397	1.296812127
398	1.296788906
399	1.296742347
400	1.296625601
401	1.2965292
402	1.296454115
403	1.296438278
404	1.296416623
405	1.296344859
406	1.296320009
407	1.296255695
408	1.296195108
409	1.296167414
410	1.296125304
411	1.296092517
412	1.296037571
413	1.295993776
414	1.295898476
415	1.295822304
416	1.295792526
417	1.295764506
418	1.295745137
419	1.295674498
420	1.295652179
421	1.295623741
422	1.295596161
423	1.295554301
424	1.295524321
425	1.29546945
426	1.295415371
427	1.295394132
428	1.295375951
429	1.295341928
430	1.295331708
431	1.295279654
432	1.295240868
433	1.295196169
434	1.295163909
435	1.295141959
436	1.295117945
437	1.295106309
438	1.295038308
439	1.294986848
440	1.294971248
441	1.294940295
442	1.294921362
443	1.294898315
444	1.294875318
445	1.294864097
446	1.294822442
447	1.294790787
448	1.294756321
449	1.294731248
450	1.294718963
451	1.294676838
452	1.294625069
453	1.294598605
454	1.294574178
455	1.29454761
456	1.294518615
457	1.294471227
458	1.294446128
459	1.294393962
460	1.294345458
461	1.294271051
462	1.294235512
463	1.294159106
464	1.294091468
465	1.294073769
466	1.294036764
467	1.29400987
468	1.293983195
469	1.293959832
470	1.293920855
471	1.293863158
472	1.293841442
473	1.293721069
474	1.293704834
475	1.293677541
476	1.293615305
477	1.293591578
478	1.293512231
479	1.293492472
480	1.293465079
481	1.293376553
482	1.293301823
483	1.293264205
484	1.293229059
485	1.293144644
486	1.29312175
487	1.293086423
488	1.293065236
489	1.29305065
490	1.293031777
491	1.292962255
492	1.292921477
493	1.292862512
494	1.292823098
495	1.292756879
496	1.292734969
497	1.292705814
498	1.292618112
499	1.29255321
500	1.292496327
501	1.292442138
502	1.292403139
503	1.292383328
504	1.292336756
505	1.292295676
506	1.292244858
507	1.292227576
508	1.29217895
509	1.292125986
510	1.292073314
511	1.292020512
512	1.291957682
513	1.291892063
514	1.291837297
515	1.291782981
516	1.291689367
517	1.29162523
518	1.29160716
519	1.291575093
520	1.291549723
521	1.291506823
522	1.291449069
523	1.29143224
524	1.29140715
525	1.291371087
526	1.29134573
527	1.291328778
528	1.291280262
529	1.291253645
530	1.291216505
531	1.291188361
532	1.291157239
533	1.291120225
534	1.291104231
535	1.291013692
536	1.290967329
537	1.290933988
538	1.290892669
539	1.29083311
540	1.29079325
541	1.290773589
542	1.290733926
543	1.290694226
544	1.290677125
545	1.290634459
546	1.290587922
547	1.290522603
548	1.290508822
549	1.290479393
550	1.29039302
551	1.290353762
552	1.290336744
553	1.290323824
554	1.290290271
555	1.290243702
556	1.290192825
557	1.290138261
558	1.290115453
559	1.290080982
560	1.290010861
561	1.290001027
562	1.289951532
563	1.289911968
564	1.289880421
565	1.289866077
566	1.289814301
567	1.289769003
568	1.289757275
569	1.289740855
570	1.289681137
571	1.289622218
572	1.289590208
573	1.289554105
574	1.289536348
575	1.289510873
576	1.289492614
577	1.289451719
578	1.289401241
579	1.289387947
580	1.289360481
581	1.289349476
582	1.289322566
583	1.289264421
584	1.289237926
585	1.289168903
586	1.289156672
587	1.289075006
588	1.288992814
589	1.28893791
590	1.288862231
591	1.288785971
592	1.288770732
593	1.288691616
594	1.288672326
595	1.288658262
596	1.288649179
597	1.288630971
598	1.288612851
599	1.288552014
600	1.288507329
601	1.28849177
602	1.288467792
603	1.288461808
604	1.288428639
605	1.288402034
606	1.288349542
607	1.288275227
608	1.288237969
609	1.288207692
610	1.288194079
611	1.288152366
612	1.288119572
613	1.288039273
614	1.288019888
615	1.287991145
616	1.287960283
617	1.287929199
618	1.287851148
619	1.287805551
620	1.287801135
621	1.287734847
622	1.287707926
623	1.287692958
624	1.287643429
625	1.287583928
626	1.287556655
627	1.287532947
628	1.287443074
629	1.287418585
630	1.287401564
631	1.287372795
632	1.287328364
633	1.287283449
634	1.287243864
635	1.287221746
636	1.287188349
637	1.287165928
638	1.287113014
639	1.287069693
640	1.287024672
641	1.287009499
642	1.287001364
643	1.286969302
644	1.286939606
645	1.286895954
646	1.286876764
647	1.286841232
648	1.286814562
649	1.286763935
650	1.286752206
651	1.286714677
652	1.286671289
653	1.286654604
654	1.28663506
655	1.286601987
656	1.286586295
657	1.28656601
658	1.286537216
659	1.286472904
660	1.286453344
661	1.28644528
662	1.286430051
663	1.286398907
664	1.286385003
665	1.286314811
666	1.286305874
667	1.286283419
668	1.286263431
669	1.286252279
670	1.286238826
671	1.286183659
672	1.286173937
673	1.286123376
674	1.286095169
675	1.286061937
676	1.286047713
677	1.286028525
678	1.286019133
679	1.285991377
680	1.285938327
681	1.285912099
682	1.285901146
683	1.285863123
684	1.285806449
685	1.285793961
686	1.285768463
687	1.285738017
688	1.285709228
689	1.28568918
690	1.285666282
691	1.285638641
692	1.285622983
693	1.285600573
694	1.285565409
695	1.28555272
696	1.285522244
697	1.285482851
698	1.285470355
699	1.285424168
700	1.285403079
701	1.285390669
702	1.285338708
703	1.285327063
704	1.285303355
705	1.285262445
706	1.285221201
707	1.285197628
708	1.285163206
709	1.285081372
710	1.285024824
711	1.285008782
712	1.284971203
713	1.284958244
714	1.284925676
715	1.284913819
716	1.284873278
717	1.284862465
718	1.284851713
719	1.284804819
720	1.284758092
721	1.284738102
722	1.284706431
723	1.284688428
724	1.284646124
725	1.284615311
726	1.284533968
727	1.284524469
728	1.284472614
729	1.284450941
730	1.284431955
731	1.284386146
732	1.284370119
733	1.284361174
734	1.284349142
735	1.284282002
736	1.284245394
737	1.284217563
738	1.284154148
739	1.284116403
740	1.284089304
741	1.284066956
742	1.284052716
743	1.284006898
744	1.283982535
745	1.283973717
746	1.28393973
