iter	Passed	Remaining
0	54	130368
1	102	122306
2	141	113372
3	181	108729
4	218	104683
5	254	101555
6	289	98808
7	327	97963
8	363	96542
9	399	95543
10	435	94601
11	478	95159
12	523	96110
13	564	96282
14	604	96144
15	646	96262
16	683	95808
17	721	95446
18	756	94789
19	791	94243
20	829	94017
21	865	93537
22	901	93143
23	938	92918
24	974	92623
25	1009	92174
26	1045	91898
27	1079	91490
28	1115	91217
29	1151	90995
30	1187	90712
31	1222	90477
32	1256	90120
33	1291	89881
34	1328	89758
35	1367	89768
36	1406	89840
37	1498	93156
38	1581	95761
39	1645	97097
40	1706	98174
41	1749	98225
42	1787	97960
43	1823	97648
44	1861	97436
45	1900	97249
46	1940	97143
47	1983	97180
48	2020	96959
49	2059	96818
50	2097	96597
51	2138	96554
52	2180	96566
53	2223	96605
54	2266	96635
55	2310	96723
56	2353	96737
57	2392	96624
58	2435	96633
59	2474	96493
60	2513	96395
61	2551	96211
62	2585	95926
63	2622	95705
64	2655	95403
65	2695	95312
66	2741	95444
67	2864	98243
68	2907	98235
69	2950	98199
70	2991	98114
71	3031	98031
72	3070	97868
73	3110	97768
74	3150	97674
75	3187	97474
76	3224	97266
77	3259	97045
78	3294	96782
79	3326	96472
80	3361	96242
81	3394	95956
82	3429	95739
83	3464	95533
84	3501	95365
85	3539	95236
86	3577	95110
87	3613	94936
88	3646	94679
89	3686	94617
90	3732	94712
91	3774	94693
92	3812	94563
93	3851	94487
94	3892	94442
95	3937	94511
96	3982	94550
97	4024	94523
98	4062	94424
99	4097	94241
100	4130	94031
101	4163	93810
102	4197	93603
103	4234	93477
104	4271	93363
105	4363	94438
106	4460	95594
107	4543	96419
108	4606	96825
109	4666	97137
110	4721	97369
111	4763	97316
112	4805	97257
113	4846	97176
114	4890	97175
115	4942	97308
116	4996	97494
117	5041	97504
118	5091	97589
119	5141	97685
120	5200	97940
121	5269	98398
122	5316	98427
123	5377	98701
124	5439	99000
125	5555	100267
126	5615	100506
127	5663	100523
128	5730	100881
129	5807	101408
130	5855	101415
131	5894	101273
132	5931	101111
133	5967	100909
134	6001	100688
135	6037	100509
136	6070	100278
137	6114	100230
138	6168	100338
139	6213	100302
140	6260	100300
141	6308	100314
142	6357	100335
143	6408	100395
144	6645	103351
145	6944	107208
146	7006	107383
147	7088	107853
148	7166	108273
149	7240	108614
150	7306	108826
151	7377	109103
152	7422	109001
153	7469	108938
154	7522	108959
155	7597	109289
156	7757	110821
157	7861	111552
158	7955	112129
159	8021	112306
160	8075	112310
161	8135	112386
162	8225	112887
163	8294	113087
164	8350	113106
165	8411	113203
166	8500	113657
167	8568	113844
168	8620	113794
169	8667	113699
170	8771	114343
171	8818	114224
172	8871	114200
173	8932	114268
174	8980	114186
